,Time,NNodes,MaxVMSize,NCPUS,ElapsedNum,NodelistSplit
34259,18.1295,5.0,0.0,5.0,1.8272800925925927,5.0
34260,18.13,5.0,0.0,5.0,1.8272800925925927,5.0
34261,18.1305,5.0,0.0,5.0,1.8272800925925927,5.0
34262,18.131,5.0,0.0,5.0,1.8272800925925927,5.0
34263,18.1315,5.0,0.0,5.0,1.8272800925925927,5.0
34264,18.132,5.0,0.0,5.0,1.8272800925925927,5.0
34265,18.1325,5.0,0.0,5.0,1.8272800925925927,5.0
34266,18.133,5.0,0.0,5.0,1.8272800925925927,5.0
34267,18.1335,5.0,0.0,5.0,1.8272800925925927,5.0
34268,18.134,5.0,0.0,5.0,1.8272800925925927,5.0
34269,18.1345,5.0,0.0,5.0,1.8272800925925927,5.0
34270,18.135,5.0,0.0,5.0,1.8272800925925927,5.0
34271,18.1355,5.0,0.0,5.0,1.8272800925925927,5.0
34272,18.136,5.0,0.0,5.0,1.8272800925925927,5.0
34273,18.1365,5.0,0.0,5.0,1.8272800925925927,5.0
34274,18.137,5.0,0.0,5.0,1.8272800925925927,5.0
34275,18.1375,5.0,0.0,5.0,1.8272800925925927,5.0
34276,18.138,5.0,0.0,5.0,1.8272800925925927,5.0
34277,18.1385,5.0,0.0,5.0,1.8272800925925927,5.0
34278,18.139,5.0,0.0,5.0,1.8272800925925927,5.0
34279,18.1395,5.0,0.0,5.0,1.8272800925925927,5.0
34280,18.14,5.0,0.0,5.0,1.8272800925925927,5.0
34281,18.1405,5.0,0.0,5.0,1.8272800925925927,5.0
34282,18.141,5.0,0.0,5.0,1.8272800925925927,5.0
34283,18.1415,5.0,0.0,5.0,1.8272800925925927,5.0
34284,18.142,5.0,0.0,5.0,1.8272800925925927,5.0
34285,18.1425,5.0,0.0,5.0,1.8272800925925927,5.0
34286,18.143,5.0,0.0,5.0,1.8272800925925927,5.0
34287,18.1435,5.0,0.0,5.0,1.8272800925925927,5.0
34288,18.144,5.0,0.0,5.0,1.8272800925925927,5.0
34289,18.1445,5.0,0.0,5.0,1.8272800925925927,5.0
34290,18.145,5.0,0.0,5.0,1.8272800925925927,5.0
34291,18.1455,5.0,0.0,5.0,1.8272800925925927,5.0
34292,18.146,5.0,0.0,5.0,1.8272800925925927,5.0
34293,18.1465,5.0,0.0,5.0,1.8272800925925927,5.0
34294,18.147,5.0,0.0,5.0,1.8272800925925927,5.0
34295,18.1475,5.0,0.0,5.0,1.8272800925925927,5.0
34296,18.148,5.0,0.0,5.0,1.8272800925925927,5.0
34297,18.1485,5.0,0.0,5.0,1.8272800925925927,5.0
34298,18.149,5.0,0.0,5.0,1.8272800925925927,5.0
34299,18.1495,5.0,0.0,5.0,1.8272800925925927,5.0
34300,18.15,5.0,0.0,5.0,1.8272800925925927,5.0
34301,18.1505,5.0,0.0,5.0,1.8272800925925927,5.0
34302,18.151,5.0,0.0,5.0,1.8272800925925927,5.0
34303,18.1515,5.0,0.0,5.0,1.8272800925925927,5.0
34304,18.152,5.0,0.0,5.0,1.8272800925925927,5.0
34305,18.1525,5.0,0.0,5.0,1.8272800925925927,5.0
34306,18.153,5.0,0.0,5.0,1.8272800925925927,5.0
34307,18.1535,5.0,0.0,5.0,1.8272800925925927,5.0
34308,18.154,5.0,0.0,5.0,1.8272800925925927,5.0
34309,18.1545,5.0,0.0,5.0,1.8272800925925927,5.0
34310,18.155,5.0,0.0,5.0,1.8272800925925927,5.0
34311,18.1555,5.0,0.0,5.0,1.8272800925925927,5.0
34312,18.156,5.0,0.0,5.0,1.8272800925925927,5.0
34313,18.1565,5.0,0.0,5.0,1.8272800925925927,5.0
34314,18.157,5.0,0.0,5.0,1.8272800925925927,5.0
34315,18.1575,5.0,0.0,5.0,1.8272800925925927,5.0
34316,18.158,5.0,0.0,5.0,1.8272800925925927,5.0
34317,18.1585,5.0,0.0,5.0,1.8272800925925927,5.0
34318,18.159,5.0,0.0,5.0,1.8272800925925927,5.0
34319,18.1595,5.0,0.0,5.0,1.8272800925925927,5.0
34320,18.16,5.0,0.0,5.0,1.8272800925925927,5.0
34321,18.1605,5.0,0.0,5.0,1.8272800925925927,5.0
34322,18.161,5.0,0.0,5.0,1.8272800925925927,5.0
34323,18.1615,5.0,0.0,5.0,1.8272800925925927,5.0
34324,18.162,5.0,0.0,5.0,1.8272800925925927,5.0
34325,18.1625,5.0,0.0,5.0,1.8272800925925927,5.0
34326,18.163,5.0,0.0,5.0,1.8272800925925927,5.0
34327,18.1635,5.0,0.0,5.0,1.8272800925925927,5.0
34328,18.164,5.0,0.0,5.0,1.8272800925925927,5.0
34329,18.1645,5.0,0.0,5.0,1.8272800925925927,5.0
34330,18.165,5.0,0.0,5.0,1.8272800925925927,5.0
34331,18.1655,5.0,0.0,5.0,1.8272800925925927,5.0
34332,18.166,5.0,0.0,5.0,1.8272800925925927,5.0
34333,18.1665,5.0,0.0,5.0,1.8272800925925927,5.0
34334,18.167,5.0,0.0,5.0,1.8272800925925927,5.0
34335,18.1675,5.0,0.0,5.0,1.8272800925925927,5.0
34336,18.168,5.0,0.0,5.0,1.8272800925925927,5.0
34337,18.1685,5.0,0.0,5.0,1.8272800925925927,5.0
34338,18.169,5.0,0.0,5.0,1.8272800925925927,5.0
34339,18.1695,5.0,0.0,5.0,1.8272800925925927,5.0
34340,18.17,5.0,0.0,5.0,1.8272800925925927,5.0
34341,18.1705,5.0,0.0,5.0,1.8272800925925927,5.0
34342,18.171,5.0,0.0,5.0,1.8272800925925927,5.0
34343,18.1715,5.0,0.0,5.0,1.8272800925925927,5.0
34344,18.172,5.0,0.0,5.0,1.8272800925925927,5.0
34345,18.1725,5.0,0.0,5.0,1.8272800925925927,5.0
34346,18.173,5.0,0.0,5.0,1.8272800925925927,5.0
34347,18.1735,5.0,0.0,5.0,1.8272800925925927,5.0
34348,18.174,5.0,0.0,5.0,1.8272800925925927,5.0
34349,18.1745,5.0,0.0,5.0,1.8272800925925927,5.0
34350,18.175,5.0,0.0,5.0,1.8272800925925927,5.0
34351,18.1755,5.0,0.0,5.0,1.8272800925925927,5.0
34352,18.176,5.0,0.0,5.0,1.8272800925925927,5.0
34353,18.1765,5.0,0.0,5.0,1.8272800925925927,5.0
34354,18.177,5.0,0.0,5.0,1.8272800925925927,5.0
34355,18.1775,5.0,0.0,5.0,1.8272800925925927,5.0
34356,18.178,5.0,0.0,5.0,1.8272800925925927,5.0
34357,18.1785,5.0,0.0,5.0,1.8272800925925927,5.0
34358,18.179,5.0,0.0,5.0,1.8272800925925927,5.0
34359,18.1795,5.0,0.0,5.0,1.8272800925925927,5.0
34360,18.18,5.0,0.0,5.0,1.8272800925925927,5.0
34361,18.1805,5.0,0.0,5.0,1.8272800925925927,5.0
34362,18.181,5.0,0.0,5.0,1.8272800925925927,5.0
34363,18.1815,5.0,0.0,5.0,1.8272800925925927,5.0
34364,18.182,5.0,0.0,5.0,1.8272800925925927,5.0
34365,18.1825,5.0,0.0,5.0,1.8272800925925927,5.0
34366,18.183,5.0,0.0,5.0,1.8272800925925927,5.0
34367,18.1835,5.0,0.0,5.0,1.8272800925925927,5.0
34368,18.184,5.0,0.0,5.0,1.8272800925925927,5.0
34369,18.1845,5.0,0.0,5.0,1.8272800925925927,5.0
34370,18.185,5.0,0.0,5.0,1.8272800925925927,5.0
34371,18.1855,5.0,0.0,5.0,1.8272800925925927,5.0
34372,18.186,5.0,0.0,5.0,1.8272800925925927,5.0
34373,18.1865,5.0,0.0,5.0,1.8272800925925927,5.0
34374,18.187,5.0,0.0,5.0,1.8272800925925927,5.0
34375,18.1875,5.0,0.0,5.0,1.8272800925925927,5.0
34376,18.188,5.0,0.0,5.0,1.8272800925925927,5.0
34377,18.1885,5.0,0.0,5.0,1.8272800925925927,5.0
34378,18.189,5.0,0.0,5.0,1.8272800925925927,5.0
34379,18.1895,5.0,0.0,5.0,1.8272800925925927,5.0
34380,18.19,5.0,0.0,5.0,1.8272800925925927,5.0
34381,18.1905,5.0,0.0,5.0,1.8272800925925927,5.0
34382,18.191,5.0,0.0,5.0,1.8272800925925927,5.0
34383,18.1915,5.0,0.0,5.0,1.8272800925925927,5.0
34384,18.192,5.0,0.0,5.0,1.8272800925925927,5.0
34385,18.1925,5.0,0.0,5.0,1.8272800925925927,5.0
34386,18.193,5.0,0.0,5.0,1.8272800925925927,5.0
34387,18.1935,5.0,0.0,5.0,1.8272800925925927,5.0
34388,18.194,5.0,0.0,5.0,1.8272800925925927,5.0
34389,18.1945,5.0,0.0,5.0,1.8272800925925927,5.0
34390,18.195,5.0,0.0,5.0,1.8272800925925927,5.0
34391,18.1955,5.0,0.0,5.0,1.8272800925925927,5.0
34392,18.196,5.0,0.0,5.0,1.8272800925925927,5.0
34393,18.1965,5.0,0.0,5.0,1.8272800925925927,5.0
34394,18.197,5.0,0.0,5.0,1.8272800925925927,5.0
34395,18.1975,5.0,0.0,5.0,1.8272800925925927,5.0
34396,18.198,5.0,0.0,5.0,1.8272800925925927,5.0
34397,18.1985,5.0,0.0,5.0,1.8272800925925927,5.0
34398,18.199,5.0,0.0,5.0,1.8272800925925927,5.0
34399,18.1995,5.0,0.0,5.0,1.8272800925925927,5.0
34400,18.2,5.0,0.0,5.0,1.8272800925925927,5.0
34401,18.2005,5.0,0.0,5.0,1.8272800925925927,5.0
34402,18.201,5.0,0.0,5.0,1.8272800925925927,5.0
34403,18.2015,5.0,0.0,5.0,1.8272800925925927,5.0
34404,18.202,5.0,0.0,5.0,1.8272800925925927,5.0
34405,18.2025,5.0,0.0,5.0,1.8272800925925927,5.0
34406,18.203,5.0,0.0,5.0,1.8272800925925927,5.0
34407,18.2035,5.0,0.0,5.0,1.8272800925925927,5.0
34408,18.204,5.0,0.0,5.0,1.8272800925925927,5.0
34409,18.2045,5.0,0.0,5.0,1.8272800925925927,5.0
34410,18.205,5.0,0.0,5.0,1.8272800925925927,5.0
34411,18.2055,5.0,0.0,5.0,1.8272800925925927,5.0
34412,18.206,5.0,0.0,5.0,1.8272800925925927,5.0
34413,18.2065,5.0,0.0,5.0,1.8272800925925927,5.0
34414,18.207,5.0,0.0,5.0,1.8272800925925927,5.0
34415,18.2075,5.0,0.0,5.0,1.8272800925925927,5.0
34416,18.208,5.0,0.0,5.0,1.8272800925925927,5.0
34417,18.2085,5.0,0.0,5.0,1.8272800925925927,5.0
34418,18.209,5.0,0.0,5.0,1.8272800925925927,5.0
34419,18.2095,5.0,0.0,5.0,1.8272800925925927,5.0
34420,18.21,5.0,0.0,5.0,1.8272800925925927,5.0
34421,18.2105,5.0,0.0,5.0,1.8272800925925927,5.0
34422,18.211,5.0,0.0,5.0,1.8272800925925927,5.0
34423,18.2115,5.0,0.0,5.0,1.8272800925925927,5.0
34424,18.212,5.0,0.0,5.0,1.8272800925925927,5.0
34425,18.2125,5.0,0.0,5.0,1.8272800925925927,5.0
34426,18.213,5.0,0.0,5.0,1.8272800925925927,5.0
34427,18.2135,5.0,0.0,5.0,1.8272800925925927,5.0
34428,18.214,5.0,0.0,5.0,1.8272800925925927,5.0
34429,18.2145,5.0,0.0,5.0,1.8272800925925927,5.0
34430,18.215,5.0,0.0,5.0,1.8272800925925927,5.0
34431,18.2155,5.0,0.0,5.0,1.8272800925925927,5.0
34432,18.216,5.0,0.0,5.0,1.8272800925925927,5.0
34433,18.2165,5.0,0.0,5.0,1.8272800925925927,5.0
34434,18.217,5.0,0.0,5.0,1.8272800925925927,5.0
34435,18.2175,5.0,0.0,5.0,1.8272800925925927,5.0
34436,18.218,5.0,0.0,5.0,1.8272800925925927,5.0
34437,18.2185,5.0,0.0,5.0,1.8272800925925927,5.0
34438,18.219,5.0,0.0,5.0,1.8272800925925927,5.0
34439,18.2195,5.0,0.0,5.0,1.8272800925925927,5.0
34440,18.22,5.0,0.0,5.0,1.8272800925925927,5.0
34441,18.2205,5.0,0.0,5.0,1.8272800925925927,5.0
34442,18.221,5.0,0.0,5.0,1.8272800925925927,5.0
34443,18.2215,5.0,0.0,5.0,1.8272800925925927,5.0
34444,18.222,5.0,0.0,5.0,1.8272800925925927,5.0
34445,18.2225,5.0,0.0,5.0,1.8272800925925927,5.0
34446,18.223,5.0,0.0,5.0,1.8272800925925927,5.0
34447,18.2235,5.0,0.0,5.0,1.8272800925925927,5.0
34448,18.224,5.0,0.0,5.0,1.8272800925925927,5.0
34449,18.2245,5.0,0.0,5.0,1.8272800925925927,5.0
34450,18.225,5.0,0.0,5.0,1.8272800925925927,5.0
34451,18.2255,5.0,0.0,5.0,1.8272800925925927,5.0
34452,18.226,5.0,0.0,5.0,1.8272800925925927,5.0
34453,18.2265,5.0,0.0,5.0,1.8272800925925927,5.0
34454,18.227,5.0,0.0,5.0,1.8272800925925927,5.0
34455,18.2275,5.0,0.0,5.0,1.8272800925925927,5.0
34456,18.228,5.0,0.0,5.0,1.8272800925925927,5.0
34457,18.2285,5.0,0.0,5.0,1.8272800925925927,5.0
34458,18.229,4.0,0.0,4.0,2.204597800925926,4.0
34459,18.2295,4.0,0.0,4.0,2.204597800925926,4.0
34460,18.23,4.0,0.0,4.0,2.204597800925926,4.0
34461,18.2305,4.0,0.0,4.0,2.204597800925926,4.0
34462,18.231,4.0,0.0,4.0,2.204597800925926,4.0
34463,18.2315,4.0,0.0,4.0,2.204597800925926,4.0
34464,18.232,4.0,0.0,4.0,2.204597800925926,4.0
34465,18.2325,4.0,0.0,4.0,2.204597800925926,4.0
34466,18.233,4.0,0.0,4.0,2.204597800925926,4.0
34467,18.2335,4.0,0.0,4.0,2.204597800925926,4.0
34468,18.234,4.0,0.0,4.0,2.204597800925926,4.0
34469,18.2345,4.0,0.0,4.0,2.204597800925926,4.0
34470,18.235,4.0,0.0,4.0,2.204597800925926,4.0
34471,18.2355,4.0,0.0,4.0,2.204597800925926,4.0
34472,18.236,4.0,0.0,4.0,2.204597800925926,4.0
34473,18.2365,4.0,0.0,4.0,2.204597800925926,4.0
34474,18.237,4.0,0.0,4.0,2.204597800925926,4.0
34475,18.2375,4.0,0.0,4.0,2.204597800925926,4.0
34476,18.238,4.0,0.0,4.0,2.204597800925926,4.0
34477,18.2385,4.0,0.0,4.0,2.204597800925926,4.0
34478,18.239,4.0,0.0,4.0,2.204597800925926,4.0
34479,18.2395,4.0,0.0,4.0,2.204597800925926,4.0
34480,18.24,4.0,0.0,4.0,2.204597800925926,4.0
34481,18.2405,4.0,0.0,4.0,2.204597800925926,4.0
34482,18.241,4.0,0.0,4.0,2.204597800925926,4.0
34483,18.2415,4.0,0.0,4.0,2.204597800925926,4.0
34484,18.242,4.0,0.0,4.0,2.204597800925926,4.0
34485,18.2425,4.0,0.0,4.0,2.204597800925926,4.0
34486,18.243,4.0,0.0,4.0,2.204597800925926,4.0
34487,18.2435,4.0,0.0,4.0,2.204597800925926,4.0
34488,18.244,4.0,0.0,4.0,2.204597800925926,4.0
34489,18.2445,4.0,0.0,4.0,2.204597800925926,4.0
34490,18.245,4.0,0.0,4.0,2.204597800925926,4.0
34491,18.2455,4.0,0.0,4.0,2.204597800925926,4.0
34492,18.246,4.0,0.0,4.0,2.204597800925926,4.0
34493,18.2465,4.0,0.0,4.0,2.204597800925926,4.0
34494,18.247,4.0,0.0,4.0,2.204597800925926,4.0
34495,18.2475,4.0,0.0,4.0,2.204597800925926,4.0
34496,18.248,4.0,0.0,4.0,2.204597800925926,4.0
34497,18.2485,4.0,0.0,4.0,2.204597800925926,4.0
34498,18.249,4.0,0.0,4.0,2.204597800925926,4.0
34499,18.2495,4.0,0.0,4.0,2.204597800925926,4.0
34500,18.25,4.0,0.0,4.0,2.204597800925926,4.0
34501,18.2505,4.0,0.0,4.0,2.204597800925926,4.0
34502,18.251,4.0,0.0,4.0,2.204597800925926,4.0
34503,18.2515,4.0,0.0,4.0,2.204597800925926,4.0
34504,18.252,4.0,0.0,4.0,2.204597800925926,4.0
34505,18.2525,4.0,0.0,4.0,2.204597800925926,4.0
34506,18.253,4.0,0.0,4.0,2.204597800925926,4.0
34507,18.2535,4.0,0.0,4.0,2.204597800925926,4.0
34508,18.254,4.0,0.0,4.0,2.204597800925926,4.0
34509,18.2545,4.0,0.0,4.0,2.204597800925926,4.0
34510,18.255,4.0,0.0,4.0,2.204597800925926,4.0
34511,18.2555,4.0,0.0,4.0,2.204597800925926,4.0
34512,18.256,4.0,0.0,4.0,2.204597800925926,4.0
34513,18.2565,4.0,0.0,4.0,2.204597800925926,4.0
34514,18.257,4.0,0.0,4.0,2.204597800925926,4.0
34515,18.2575,4.0,0.0,4.0,2.204597800925926,4.0
34516,18.258,4.0,0.0,4.0,2.204597800925926,4.0
34517,18.2585,4.0,0.0,4.0,2.204597800925926,4.0
34518,18.259,4.0,0.0,4.0,2.204597800925926,4.0
34519,18.2595,4.0,0.0,4.0,2.204597800925926,4.0
34520,18.26,4.0,0.0,4.0,2.204597800925926,4.0
34521,18.2605,4.0,0.0,4.0,2.204597800925926,4.0
34522,18.261,4.0,0.0,4.0,2.204597800925926,4.0
34523,18.2615,4.0,0.0,4.0,2.204597800925926,4.0
34524,18.262,4.0,0.0,4.0,2.204597800925926,4.0
34525,18.2625,4.0,0.0,4.0,2.204597800925926,4.0
34526,18.263,4.0,0.0,4.0,2.204597800925926,4.0
34527,18.2635,4.0,0.0,4.0,2.204597800925926,4.0
34528,18.264,4.0,0.0,4.0,2.204597800925926,4.0
34529,18.2645,4.0,0.0,4.0,2.204597800925926,4.0
34530,18.265,4.0,0.0,4.0,2.204597800925926,4.0
34531,18.2655,4.0,0.0,4.0,2.204597800925926,4.0
